id,name,barcode,department,subcategory,price,on_sale,sale_price,sale_text,unit,is_new,image_file
"855519","בננה","23","פירות וירקות","פירות","14.90","לא","0.00","","b","לא","בננה.jpg"
"855520","נקטרינה","171","פירות וירקות","פירות","24.90","כן","10.90","1 ק""ג ב-  10.90 ש""ח","k","כן","נקטרינה.jpg"
"855521","קלמנטינה","511","פירות וירקות","פירות","15.90","לא","0.00","","k","לא","קלמנטינה.jpg"
"855522","תפוח עץ סמיט","588","פירות וירקות","פירות","19.90","כן","8.90","1 ק""ג ב-  8.90 ש""ח","k","לא","תפוח עץ סמיט.jpg"
"855523","תפוח עץ חרמון","535","פירות וירקות","פירות","15.90","לא","0.00","","k","לא","תפוח עץ חרמון.jpg"
"855525","תפוח עץ זהוב","600","פירות וירקות","פירות","15.90","לא","0.00","","k","לא","תפוח עץ זהוב.jpg"
"855526","תפוז","500","פירות וירקות","פירות","10.90","לא","0.00","","b","לא","תפוז.jpg"
"855530","אשכולית אדומה","57","פירות וירקות","פירות","9.90","לא","0.00","","u","לא","אשכולית אדומה.jpg"
"855532","אבוקדו","12","פירות וירקות","פירות","17.90","לא","0.00","","u","לא","אבוקדו.jpg"
"855533","לימון","54","פירות וירקות","פירות","21.90","לא","0.00","","b","לא","לימון.jpg"
"855534","ענבים אדומים","131","פירות וירקות","פירות","54.90","לא","0.00","","k","לא","ענבים אדומים.jpg"
"855535","אגס","13","פירות וירקות","פירות","22.90","לא","0.00","","k","לא","אגס.jpg"
"855536","מלפפון","2600","פירות וירקות","ירקות","9.90","לא","0.00","","k","לא","מלפפון.jpg"
"855537","עגבניה","120","פירות וירקות","ירקות","8.90","לא","0.00","","k","לא","עגבניה.jpg"
"855538","פלפל אדום","182","פירות וירקות","ירקות","15.90","לא","0.00","","b","לא","פלפל אדום.jpg"
"855539","פלפל צהוב","216","פירות וירקות","ירקות","16.90","לא","0.00","","b","לא","פלפל צהוב.jpg"
"855543","פלפל חריף ירוק","222","פירות וירקות","ירקות","14.90","לא","0.00","","b","לא","פלפל חריף ירוק.jpg"
"855544","בצל יבש","24","פירות וירקות","ירקות","7.90","לא","0.00","","k","לא","בצל יבש.jpg"
"855545","בצל סגול","25","פירות וירקות","ירקות","8.90","לא","0.00","","k","לא","בצל סגול.jpg"
"855546","תפוח אדמה לבן ( תפזורת )","384","פירות וירקות","ירקות","6.90","לא","0.00","","k","לא","תפוח אדמה לבן ( תפזורת ).jpg"
"855547","תפוח אדמה אדום ( תפזורת )","714","פירות וירקות","ירקות","6.90","לא","0.00","","k","לא","תפוח אדמה אדום ( תפזורת ).jpg"
"855548","גזר ( תפזורת )","32","פירות וירקות","ירקות","6.90","לא","0.00","","k","לא","גזר ( תפזורת ).jpg"
"855550","עגבניה תמר","116","פירות וירקות","ירקות","25.90","לא","0.00","","k","לא","עגבניה תמר.jpg"
"855552","עגבניה שרי תמר אדום","66","פירות וירקות","ירקות","16.90","לא","0.00","","k","כן","עגבניה שרי תמר אדום.jpg"
"855553","כרוב לבן","49","פירות וירקות","ירקות","6.90","לא","0.00","","u","לא","כרוב לבן.jpg"
"855554","כרוב אדום","50","פירות וירקות","ירקות","6.90","לא","0.00","","u","כן","כרוב אדום.jpg"
"855555","בטטה","22","פירות וירקות","ירקות","9.90","לא","0.00","","u","לא","בטטה.jpg"
"855556","קולורבי ירוק","268","פירות וירקות","ירקות","16.90","לא","0.00","","b","לא","קולורבי ירוק.jpg"
"855557","כרובית ( ארוזה )","7290014079526","פירות וירקות","ירקות","17.90","לא","0.00","","u","לא","כרובית ( ארוזה ).jpg"
"855558","חציל","44","פירות וירקות","ירקות","7.90","לא","0.00","","u","לא","חציל.jpg"
"855560","קישוא","305","פירות וירקות","ירקות","9.90","לא","0.00","","k","לא","קישוא.jpg"
"855561","דלעת ( מארז )","7290018024409","פירות וירקות","ירקות","13.90","לא","0.00","","u","לא","דלעת ( מארז ).jpg"
"855562","חציל בלאדי","87","פירות וירקות","ירקות","11.90","לא","0.00","","u","כן","חציל בלאדי.jpg"
"855563","שומר","356","פירות וירקות","ירקות","16.90","לא","0.00","","b","לא","שומר.jpg"
"855564","פלפל שושקה אדום","58","פירות וירקות","ירקות","29.90","לא","0.00","","b","לא","פלפל שושקה אדום.jpg"
"855565","דלורית","38","פירות וירקות","ירקות","8.90","לא","0.00","","u","כן","דלורית.jpg"
"855569","סלק אדום","102","פירות וירקות","ירקות","8.90","לא","0.00","","k","לא","סלק אדום.jpg"
"855570","ג'ינג'ר","85","פירות וירקות","ירק","39.90","לא","0.00","","u","לא","ג'ינג'ר.jpg"
"855571","פטרוזיליה ( מארז )","7290018024058","פירות וירקות","ירק","4.90","כן","12.00","3 יח' ב-  12.00 ש""ח","u","לא","פטרוזיליה ( מארז ).jpg"
"855572","חסה עגולה ( מארז )","7290018024010","פירות וירקות","ירק","6.90","לא","0.00","","u","לא","חסה עגולה ( מארז ).jpg"
"855573","שמיר ( מארז )","7290018024089","פירות וירקות","ירק","4.90","כן","12.00","3 יח' ב-  12.00 ש""ח","u","לא","שמיר ( מארז ).jpg"
"855574","כוסברה ( מארז )","7290018024065","פירות וירקות","ירק","4.90","כן","12.00","3 יח' ב-  12.00 ש""ח","u","לא","כוסברה ( מארז ).jpg"
"855575","קוטג' 5% תנובה 250 גרם","7290004127329","מוצרי חלב וביצים","קוטג","7.50","לא","0.00","","u","לא","קוטג' 5% תנובה 250 גרם.jpg"
"855576","גבינה לבנה 3% תנובה 250 גרם","7290004129545","מוצרי חלב וביצים","גבינה לבנה","6.90","לא","0.00","","u","לא","גבינה לבנה 3% תנובה 250 גרם.jpg"
"855577","גבינה לבנה 9% תנובה 250 גרם","7290000048192","מוצרי חלב וביצים","גבינה לבנה","7.20","לא","0.00","","u","לא","גבינה לבנה 9% תנובה 250 גרם.jpg"
"855578","גבינה לבנה רכה 5% תנובה 250 גרם","7290000048185","מוצרי חלב וביצים","גבינה לבנה","5.87","לא","0.00","","u","לא","גבינה לבנה רכה 5% תנובה 250 גרם.jpg"
"855579","קוטג' 5% שטראוס 250 גרם","7290011194246","מוצרי חלב וביצים","קוטג","7.90","לא","0.00","","u","לא","קוטג' 5% שטראוס 250 גרם.jpg"
"855580","קוטג' 9% תנובה 250 גרם","7290004127336","מוצרי חלב וביצים","קוטג","6.90","לא","0.00","","u","לא","קוטג' 9% תנובה 250 גרם.jpg"
